date_and_time,lat,lon,speed
18-07-27 11:24:39.400,12.35824157,76.59613819,2
18-07-27 11:24:39.600,12.35824244,76.59613852,2
18-07-27 11:24:39.800,12.35824334,76.59613914,2
18-07-27 11:24:40.000,12.35824464,76.59613989,3
18-07-27 11:24:40.200,12.35824577,76.59614058,3
18-07-27 11:24:40.400,12.35824665,76.59614128,2
18-07-27 11:24:40.600,12.35824744,76.59614192,2
18-07-27 11:24:40.800,12.3582483,76.59614269,2
18-07-27 11:24:41.000,12.3582493,76.5961435,3
18-07-27 11:24:41.200,12.35825032,76.59614416,2
18-07-27 11:24:41.400,12.35825159,76.59614469,3
18-07-27 11:24:41.600,12.35825325,76.59614552,4
18-07-27 11:24:41.800,12.35825486,76.59614609,4
18-07-27 11:24:42.000,12.35825635,76.59614647,3
18-07-27 11:24:42.200,12.35825766,76.59614652,2
18-07-27 11:24:42.400,12.35825913,76.59614628,3
18-07-27 11:24:42.600,12.35826056,76.59614581,3
18-07-27 11:24:42.800,12.35826207,76.59614547,3
18-07-27 11:24:43.000,12.35826325,76.59614545,2
18-07-27 11:24:43.200,12.35826444,76.59614552,2
18-07-27 11:24:43.400,12.35826572,76.59614541,2
18-07-27 11:24:43.600,12.35826693,76.5961456,3
18-07-27 11:24:43.800,12.35826783,76.59614584,2
18-07-27 11:24:44.000,12.35826866,76.59614618,2
18-07-27 11:24:44.200,12.35826997,76.59614634,3
18-07-27 11:24:44.400,12.35827102,76.59614665,2
18-07-27 11:24:44.600,12.35827212,76.59614712,2
18-07-27 11:24:44.800,12.35827307,76.59614801,3
18-07-27 11:24:45.000,12.35827423,76.59614887,3
18-07-27 11:24:45.200,12.35827522,76.59614972,3
18-07-27 11:24:45.400,12.35827596,76.59615057,2
18-07-27 11:24:45.600,12.35827702,76.59615136,2
18-07-27 11:24:45.800,12.35827808,76.59615204,3
18-07-27 11:24:46.000,12.35827861,76.59615287,2
18-07-27 11:24:46.200,12.35827904,76.59615388,2
18-07-27 11:24:46.400,12.35827962,76.5961551,3
